bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,species,species_flag
-1.6985686824187785,-1.5193983123257473,-1.486887959600733,-1.4487644968956028,Adelie,1
-1.062657166694825,-1.6969381436963529,-1.4751265541054013,-1.641816605854003,Adelie,1
-0.7354299739573857,-1.482449007074264,-1.578570561011749,-1.5202985003448126,Chinstrap,2
-0.48818875434106823,-1.490264602750734,-1.5924761926969777,-1.5572017317090932,Chinstrap,2
-0.04352811287950508,-1.448704244658059,-1.5350485825977265,-1.53140741093626,Chinstrap,2
0.18392523985626955,-1.5929008800872795,-1.709548837307189,-1.6533337037835518,Chinstrap,2
0.4540731458971434,-1.612200385640551,-1.590002549376406,-1.5892166083540822,Chinstrap,2
0.8555677511798845,-1.6315191242089742,-1.5616491453541732,-1.6096326422171192,Chinstrap,2
1.2576452553507727,-1.654142491468989,-1.5536495530057135,-1.5549599400405876,Chinstrap,2
1.6520108691553976,-1.6629686299801236,-1.6316119117376904,-1.5667986629431956,Chinstrap,2
-1.6862650497381768,-1.266022306149835,-1.5315131177312633,-1.6591630892223173,Adelie,1
-1.0835578924932308,-1.0767716439831334,-1.6264885530030362,-1.5995248663131683,Adelie,1
-0.8228258041965671,-1.3534299270940522,-1.461369220509317,-1.6874374547443645,Chinstrap,2
-0.44577263693284985,-1.1128855834389006,-1.7217577952557623,-1.5426866387473468,Chinstrap,2
-0.3220214883538334,-1.1153386139910333,-1.4313318080041644,-1.5670792992310396,Chinstrap,2
0.15366204087485844,-1.3564201101527387,-1.4555250668273252,-1.715323873868038,Chinstrap,2
0.5078722326704828,-1.2015704673837628,-1.5498074836473974,-1.6619308415773835,Chinstrap,2
0.7360745362691931,-1.2517399522912107,-1.4201716118477081,-1.4568119370853616,Chinstrap,2
1.3171598989446474,-1.3580973720049831,-1.53209828006301,-1.6743053496211096,Chinstrap,2
1.4722576744441407,-1.0661658913908785,-1.5275788366268177,-1.5300954107121414,Chinstrap,2
-1.6075649677682158,-0.8751237517642446,-1.6898355276597032,-1.6232841364065085,Adelie,1
-1.086383949156107,-0.9181264198268629,-1.6456964723444374,-1.463432975470413,Adelie,1
-1.0083171082410294,-0.9757590895191551,-1.6415199890259315,-1.5466982354783472,Adelie,1
-0.363813891828647,-0.7384198909152252,-1.6106391273056928,-1.5325866975210907,Chinstrap,2
-0.3000236089258604,-0.916822513022,-1.623124017881052,-1.586855031063239,Chinstrap,2
0.2934559988834625,-0.9738665972572891,-1.5708748523212044,-1.7132245421034202,Chinstrap,2
0.6369679678794103,-0.816952903247526,-1.594485464263271,-1.5291403799598908,Chinstrap,2
0.8430835698373773,-0.810004978044837,-1.6148189533965327,-1.5843281602025558,Chinstrap,2
1.2963041288565322,-0.8625431746964709,-1.4650234386067467,-1.6665874819335889,Chinstrap,2
1.629550266498765,-0.7534449390939173,-1.5333265362218151,-1.500978312144322,Chinstrap,2
-1.5850821589716908,-0.5790142242202745,-1.5722029316442248,-1.5659370760050368,Adelie,1
-1.355916996768835,-0.5768603789613965,-1.7099387633725038,-1.4275774653521733,Adelie,1
-0.908397402177727,-0.6285417527225167,-1.4973170026193037,-1.4358604666750467,Adelie,1
-0.47590413461444003,-0.5100432792452473,-1.7188998212638062,-1.49193165215158,Chinstrap,2
-0.18951289252133555,-0.6414581221312832,-1.438079467596983,-1.5830819529070577,Chinstrap,2
0.14994334452962998,-0.6298057056953206,-1.4735750091219584,-1.6942074075519948,Chinstrap,2
0.6647362078843698,-0.6437799494292039,-1.6762407093948557,-1.4514665904247865,Chinstrap,2
0.8832217677394895,-0.5282745578711798,-1.5501812700156599,-1.5188066001245477,Chinstrap,2
1.3150371201208169,-0.5716952384158808,-1.6469656948849096,-1.7055238559079058,Chinstrap,2
1.482381426882146,-0.5999466751731446,-1.4349047071433898,-1.474057533497918,Chinstrap,2
-1.4508985643051715,-0.13411600444877664,-1.6910464908829523,-1.6591687561255803,Adelie,1
-1.3264420685976153,-0.14772826355281116,-1.7292106923967492,-1.6441819933480633,Adelie,1
-0.7558268700062519,-0.3034105770985387,-1.473212796684332,-1.4209746449340641,Adelie,1
-0.458266572156232,-0.21392991147516824,-1.5589099462818932,-1.5759998453445112,Chinstrap,2
-0.2923581794477156,-0.05832747275607778,-1.5632766893338446,-1.599254330086657,Chinstrap,2
0.21790964596385365,-0.1490613099570324,-1.5428574700812898,-1.5602895104299834,Chinstrap,2
0.405698094592896,-0.19063988141710017,-1.6070368938939337,-1.4652355084161526,Chinstrap,2
0.7384078331039488,-0.1952817678465344,-1.6653053010308225,-1.5630464604064245,Chinstrap,2
1.2306366101129194,-0.10721263621705221,-1.4460888529839113,-1.7125558722137824,Chinstrap,2
1.598205672419071,-0.04309719508643008,-1.5058459517373544,-1.62854908122063,Chinstrap,2
-1.6060355288853145,0.10836523004716535,-1.5169959658507537,-1.6358971894792003,Adelie,1
-1.2896932780025034,0.03598017944449726,-1.7028683299886227,-1.4434253625627076,Adelie,1
-0.9529436747638533,0.31618773986148924,-1.5841569296548963,-1.6140116602262078,Adelie,1
-0.6718500351824295,0.22456557880395914,-1.59698472781144,-1.5042086721210866,Adelie,1
-0.31714453244214197,0.07376482813582227,-1.7076513300050813,-1.7169397948656504,Chinstrap,2
0.08639101887735055,0.08842239771024646,-1.4946308556689047,-1.524731408162239,Chinstrap,2
0.4912629511756221,0.17816270020576455,-1.530468870561241,-1.6868862496936072,Chinstrap,2
0.908150518887546,0.20616789419146878,-1.6386376498206165,-1.5248845132587552,Chinstrap,2
1.2366021922688202,0.23278066977512302,-1.495673500219158,-1.5969406542939968,Chinstrap,2
1.5139364341002113,0.06653470861738717,-1.4582366351433032,-1.6217809148373483,Chinstrap,2
-1.6731858384665377,0.4875509169065696,-1.6789026817873745,-1.6228704746721894,Adelie,1
-1.09891759763549,0.4528948898419206,-1.6524394109060592,-1.4572591840078095,Adelie,1
-0.9801111208094462,0.6179214040279928,-1.4366265635965487,-1.420543882169382,Adelie,1
-0.5239150913666248,0.5096243441732626,-1.4695172795473277,-1.5874088118392173,Adelie,1
-0.3245610642948928,0.397631042353823,-1.5133697013489964,-1.4450009413528966,Chinstrap,2
0.26833413101464926,0.38405999274900005,-1.4963226431444998,-1.4397426204079737,Chinstrap,2
0.6040705983534654,0.6541109820554732,-1.7316403679406747,-1.607988747827942,Chinstrap,2
0.9726302305526903,0.4271820419863399,-1.6546930537771687,-1.6593732570126194,Chinstrap,2
1.2719908395245672,0.5085607177916509,-1.6350508375208659,-1.5837317287467674,Chinstrap,2
1.6647658950886421,0.6828178991536633,-1.4441079753087454,-1.6457290131647297,Chinstrap,2
-1.6877833759439258,0.7967568389711533,-1.4871724956842416,-1.5342971311242923,Adelie,1
-1.2772125562808716,0.7335289303724566,-1.5549713137335817,-1.680086321479759,Adelie,1
-0.8785187404159434,0.9269060449373201,-1.7146580251080767,-1.68146242728296,Adelie,1
-0.47220017990341123,0.7376385208707972,-1.4529226506049597,-1.4361949389835724,Adelie,1
-0.09366354071718386,0.9409395356960302,-1.4627520510740901,-1.6769906737860476,Chinstrap,2
0.04860067896072881,0.8651458007285754,-1.4207056557965243,-1.708604812390137,Chinstrap,2
0.3752819353982783,0.8047971078120345,-1.7011617303701532,-1.6145905986026439,Chinstrap,2
0.8437515045990783,0.8078582858708121,-1.5843571512470347,-1.564313531669783,Chinstrap,2
1.3751097285298113,0.8587800471925169,-1.591919132997508,-1.45866940225007,Chinstrap,2
1.4444831513264735,0.8761728848806091,-1.5299753332081076,-1.6386745253435753,Chinstrap,2
-1.4535185984694823,1.1268859022695943,-1.5236551339705564,-1.5483805555782704,Adelie,1
-1.1245360555274349,1.3701530791880756,-1.4675390978666656,-1.6944565561504439,Adelie,1
-0.8090315872541984,1.0868431729196273,-1.7298780624108763,-1.4777888378449824,Adelie,1
-0.4064403245430777,1.3048126630278245,-1.6406895166932336,-1.6207691000025755,Adelie,1
-0.025953713987032796,1.1039597002847756,-1.7287285025617114,-1.677056502695239,Chinstrap,2
0.3108054673426244,1.298873172903998,-1.622550293632417,-1.6322695351905478,Chinstrap,2
0.40877698842231547,1.2820459266667301,-1.5473208876976898,-1.4677660676883855,Chinstrap,2
0.7914758217698639,1.2450268671295275,-1.4601835356966737,-1.4648387143148074,Chinstrap,2
1.2765503851581872,1.3788061470234028,-1.4830375784109082,-1.6547016357683622,Chinstrap,2
1.7319817577897407,1.2243912033076387,-1.561470467464812,-1.5311247912469301,Chinstrap,2
-1.6373328294034817,1.447222173641035,-1.5517926978188048,-1.5954408741821628,Adelie,1
-1.2629673575089557,1.4319914481942206,-1.4330657476329942,-1.6551442181139167,Adelie,1
-0.7434943112751973,1.659520607644014,-1.4632940985963052,-1.4547379804900706,Adelie,1
-0.48665960814793086,1.620846413952294,-1.4342467268017003,-1.7192796351285098,Adelie,1
-0.20604529994081086,1.541154166054262,-1.532015017254227,-1.5613601352512725,Adelie,1
0.032972856574167334,1.5040573390064371,-1.7189186725624401,-1.5115764703989545,Chinstrap,2
0.5153939648954047,1.6380615049219651,-1.6632394687542689,-1.5282570986428154,Chinstrap,2
0.8158190992252355,1.5150362345218107,-1.4483534081334757,-1.594615397520746,Chinstrap,2
1.31577668892375,1.479616626666824,-1.5099735137538448,-1.6944406215940655,Chinstrap,2
1.6908263242043164,1.457699579839912,-1.6676537392422945,-1.6402265373728422,Chinstrap,2
-1.4314443820162712,-1.4976387964965114,-1.2991026158718606,-1.4323854333207287,Adelie,1
-1.232862136122406,-1.6768329461421714,-1.2120832404848148,-1.656564504467349,Adelie,1
-0.7788544744853034,-1.7198962129903792,-1.3312407223229958,-1.6614447593079555,Chinstrap,2
-0.51067793139508,-1.7068136207666276,-1.0890056571221296,-1.4315697018979885,Chinstrap,2
